provider,instrument,timeframe,timestamp,open,high,low,close,volume,complete
dukascopy,EURUSD,H4,2025-01-10T00:00:00,1.02965,1.03044,1.0292,1.02985,5411,True
dukascopy,EURUSD,H4,2025-01-10T04:00:00,1.02983,1.02998,1.02811,1.0297,8042,True
dukascopy,EURUSD,H4,2025-01-10T08:00:00,1.02971,1.03118,1.02927,1.03016,15498,True
dukascopy,EURUSD,H4,2025-01-10T12:00:00,1.03016,1.03118,1.02127,1.02503,47635,True
dukascopy,EURUSD,H4,2025-01-10T16:00:00,1.02503,1.02511,1.02275,1.02454,22394,True
dukascopy,EURUSD,H4,2025-01-10T20:00:00,1.02454,1.02488,1.0237,1.024,5055,True
